Iteration,MSE_Error
1,46.517320358549526
2,46.01331147421097
3,45.70828450208007
4,45.353998763576925
5,44.92007301313584
6,44.39724864802227
7,43.80543996215538
8,43.185811315220384
9,42.58028397558794
10,42.01701234351181
11,41.50859827125192
12,41.05715462677509
13,40.65949955307688
14,40.31034688521088
15,40.00393842689296
16,39.73477588498806
17,39.49791418149097
18,39.28900637010431
19,39.10427645110189
20,38.94046699552372
21,38.79475936529134
22,38.664733721424895
23,38.54832080420856
24,38.4437613921777
25,38.3495695292653
26,38.264438734710815
27,38.18725622526423
28,38.11708324619745
29,38.053105715295686
30,37.9946238083269
31,37.94102209063425
32,37.89176849182088
33,37.84641302387867
34,37.80456669748746
35,37.76587941486372
36,37.73003200324479
37,37.69675301992679
38,37.66579292345892
39,37.63693246520129
40,37.60998470421205
41,37.58478274820875
42,37.56117306971487
43,37.539022012833264
44,37.51820765529551
45,37.49861421405173
46,37.48013528082429
47,37.46268263930578
48,37.44617928047487
49,37.43054948496747
50,37.41573036079882
51,37.40166832185676
52,37.38830763768905
53,37.37559268188816
54,37.36348226773167
55,37.351943463452244
56,37.34093368074337
57,37.330420343354945
58,37.320370621901816
59,37.31075876826776
60,37.30155237684064
61,37.29272599660084
62,37.28425935893362
63,37.276134032374074
64,37.26833386854133
65,37.26083262795389
66,37.253613844866216
67,37.24666694228067
68,37.239980779409905
69,37.233541307685364
70,37.227332214575114
71,37.22133873850146
72,37.21555451955297
73,37.20996713179432
74,37.20456714897943
75,37.199348248261884
76,37.19429716892601
77,37.18941425557025
78,37.184686155356275
79,37.180108336830415
80,37.175672183958945
81,37.17137274460968
82,37.16720429317953
83,37.163161511454604
84,37.15923999246544
85,37.15543626571921
86,37.15174400720309
87,37.148157779154445
88,37.144672844410486
89,37.14128223037618
90,37.137982686846165
91,37.13477098604356
92,37.131644739132575
93,37.12860360201464
94,37.125643597249855
95,37.122762610907785
96,37.11995573301554
97,37.11721824036563
98,37.11454726653228
99,37.11194506431867
100,37.10941215290289
