HLGT CODE,HLGT NAME
10025518,Male reproductive tract infections and inflammations
10026753,Manic and bipolar mood disorders and disturbances
10026906,Maternal complications of labour and delivery
10026908,Maternal complications of pregnancy
10027412,Mesotheliomas
10027424,Metabolic and nutritional disorders congenital
10027432,"Metabolic, nutritional and blood gas investigations"
10027476,Metastases
10027529,Microbiology and serology investigations
10027584,Middle ear disorders (excl congenital)
10027655,Miscellaneous and site unspecified neoplasms malignant and unspecified
10027656,Miscellaneous and site unspecified neoplasms benign
10027664,Congenital and hereditary disorders NEC
10027665,Immune disorders NEC
10027667,Aural disorders NEC
10027946,Mood disorders and disturbances NEC
10028037,Movement disorders (incl parkinsonism)
10028302,Muscle disorders
10028377,Musculoskeletal and connective tissue deformities (incl intervertebral disc disorders)
10028387,Musculoskeletal and soft tissue investigations (excl enzyme tests)
10028389,Musculoskeletal and connective tissue neoplasms
10028393,Musculoskeletal and connective tissue disorders NEC
10028396,Musculoskeletal and connective tissue disorders congenital
10028440,Mycobacterial infectious disorders
10028474,Mycoplasmal infectious disorders
10028593,Myocardial disorders
10028920,Neonatal and perinatal conditions
10028971,Neonatal respiratory disorders
10029107,Respiratory tract neoplasms
10029112,Neoplastic and ectopic endocrinopathies
10029149,Nephropathies
10029209,Nervous system neoplasms benign
10029211,Nervous system neoplasms malignant and unspecified NEC
10029295,"Neurological, special senses and psychiatric investigations"
10029299,Neurological disorders congenital
10029301,Neurological disorders of the eye
10029305,Neurological disorders NEC
10029317,Neuromuscular disorders
10029903,Obstetric and gynaecological therapeutic procedures
10030046,Ocular injuries
10030054,Ocular neoplasms
10030061,Ocular neuromuscular disorders
10030064,Ocular sensory symptoms NEC
10031013,Oral soft tissue conditions
10033283,Ovarian and fallopian tube disorders
10033949,Parathyroid gland disorders
10034468,Pericardial disorders
10034606,Peripheral neuropathies
10034652,Peritoneal and retroperitoneal conditions
10034726,Personality disorders and disturbances in behaviour
10035023,Pigmentation disorders
10035129,"Placental, amniotic and cavity disorders (excl haemorrhages)"
10035227,Plasma cell neoplasms
10035534,Platelet disorders
10035597,Pleural disorders
10036411,Postpartum and puerperal disorders
10036958,Prostatic disorders (excl infections and inflammations)
10037000,Protein and chemistry analyses NEC
10037008,Protein and amino acid metabolism disorders NEC
10037072,Protozoal infectious disorders
10037173,Psychiatric and behavioural symptoms NEC
10037176,Psychiatric disorders NEC
10037454,Pulmonary vascular disorders
10037546,Purine and pyrimidine metabolism disorders
10038158,Red blood cell disorders
10038360,Renal and urinary tract disorders congenital
10038362,Renal and urinary tract investigations and urinalyses
10038363,Renal and urinary tract neoplasms benign
10038364,Renal and urinary tract neoplasms malignant and unspecified
10038365,Renal and urinary tract therapeutic procedures
10038430,Renal disorders (excl nephropathies)
10038588,Reproductive and genitourinary neoplasms gender unspecified NEC
10038592,Reproductive organ and breast investigations (excl hormone analyses)
10038593,Reproductive neoplasms male benign
10038594,Reproductive neoplasms female malignant and unspecified
10038595,Reproductive neoplasms female benign
10038597,Reproductive neoplasms male malignant and unspecified
10038608,Reproductive tract and breast disorders congenital
10038612,Reproductive tract disorders NEC
10038666,Respiratory and mediastinal neoplasms malignant and unspecified
10038667,Respiratory and mediastinal neoplasms benign (excl mesotheliomas)
10038668,Respiratory and pulmonary investigations (excl blood gases)
10038686,Respiratory disorders congenital
10038716,Respiratory disorders NEC
10038737,Respiratory tract therapeutic procedures
10039135,Rickettsial infectious disorders
10039404,Salivary gland conditions
10039628,Schizophrenia and other psychotic disorders
10039911,Seizures (incl subtypes)
10040480,"Sexual dysfunctions, disturbances and gender identity disorders"
10040776,Skeletal neoplasms benign
10040778,Skeletal neoplasms malignant and unspecified
10040789,Skin and subcutaneous tissue disorders congenital
10040790,Skin and subcutaneous tissue disorders NEC
10040795,Skin and subcutaneous tissue therapeutic procedures
10040798,Skin appendage conditions
10040879,Skin investigations
10040899,Cutaneous neoplasms benign
10040900,Skin neoplasms malignant and unspecified
10040991,Sleep disorders and disturbances
10040998,Sleep disturbances (incl subtypes)
10041294,Soft tissue neoplasms benign
10041297,Soft tissue therapeutic procedures
10041543,Spinal cord and nerve root disorders
10041641,"Spleen, lymphatic and reticuloendothelial system disorders"
10042258,Structural brain disorders
10042261,"Ocular structural change, deposit and degeneration NEC"
10042460,Suicidal and self-injurious behaviours NEC
10043237,"Tendon, ligament and cartilage disorders"
10043413,Therapeutic procedures and supportive care NEC
10043739,Thyroid gland disorders
10043946,Tongue conditions
10044018,Dental and gingival conditions
10044260,Toxicology and therapeutic drug monitoring
10046304,Upper respiratory tract disorders (excl infections)
10046400,Ureteric disorders
10046447,Urethral disorders (excl calculi)
10046590,Urinary tract signs and symptoms
10046708,Urolithiases
10046828,"Uterine, pelvic and broad ligament disorders"
10046973,Cardiac valve disorders
10047043,Skin vascular abnormalities
10047060,"Retina, choroid and vitreous haemorrhages and vascular disorders"
10047061,Ocular haemorrhages and vascular disorders NEC
10047066,Vascular disorders NEC
10047075,Vascular haemorrhagic disorders
10047079,Vascular injuries
10047438,Viral infectious disorders
10047518,Vision disorders
10047635,Vitamin related disorders
10047789,Vulvovaginal disorders (excl infections and inflammations)
10047843,"Water, electrolyte and mineral investigations"
10047954,White blood cell disorders
10052547,Endocrine and glandular disorders NEC
10052635,Cytoplasmic disorders congenital
10052863,Psychiatric therapeutic procedures
10053098,Foetal and neonatal investigations
10053172,Fatal outcomes
10057165,Venous varices
10057166,Vascular hypertensive disorders
10057167,Mental impairment disorders
10062915,Therapeutic and nontherapeutic effects (excl toxicity)
10064477,Coagulopathies and bleeding diatheses (excl thrombocytopenic)
10068775,Neoplasm related morbidities
10069781,Complications associated with device
10069782,Device issues
10069888,Procedural related injuries and complications NEC
10071940,Physical examination and organ system status topics
10071947,"Exposures, chemical injuries and poisoning"
10072990,Soft tissue neoplasms malignant and unspecified
10074469,Menopause related conditions
10077537,"Product quality, supply, distribution, manufacturing and quality system issues"
10077546,Somatic symptom and related disorders
10079101,Respiratory tract signs and symptoms
10079145,Medication errors and other product use errors and issues
10079156,Off label uses and intentional product misuses/use issues
10079159,Overdoses and underdoses NEC
10082206,"Cardiac disorders, signs and symptoms NEC"
10082207,Vascular infections and inflammations
10083624,"Chromosomal abnormalities, gene alterations and gene variants"
10087058,Cytogenetic investigations and genetic analyses
10087059,Skin and subcutaneous tissue infections and infestations NEC
,
10013317,
10013317,
10013317,
10013317,
10013317,
10013326,
10013326,
10013326,
10013355,
10013355,
10013355,
10013355,
10013356,
10013356,
10013356,
10013361,
10013361,
10013362,
10013362,
10013364,
10013364,
10013369,
10013369,
10013369,
10013465,
10013511,
10013511,
10013511,
10013511,
10013535,
10013535,
10013995,
10013995,
10013995,
10014067,
10014067,
10014067,
10014136,
10014136,
10014136,
10014142,
10014412,
10014412,
10014412,
10014412,
10014412,
10014412,
10014412,
10014412,
10014412,
10014523,
10014523,
10014523,
10014523,
10014523,
10014523,
10014523,
10014523,
10014523,
10014523,
10014523,
10014623,
10014623,
10014662,
10014662,
10014662,
10014662,
10014662,
10014699,
10014699,
10014699,
10014701,
10014701,
10014701,
10014701,
10014705,
10014705,
10014705,
10014705,
10014705,
10014705,
10014705,
10014706,
10014706,
10014706,
10014706,
10014706,
10014706,
10014706,
10014706,
10014706,
10014706,
10014706,
10014706,
10014706,
10014710,
10014710,
10014710,
10014713,
10014713,
10014713,
10014713,
10014713,
10014713,
10014713,
10014931,
10014931,
10014938,
10014938,
10014938,
10014982,
10014982,
10014982,
10014982,
10014982,
10014982,
10014982,
10014982,
10014982,
10014982,
10014982,
10014982,
10014982,
10014982,
10014982,
10014982,
10015674,
10015674,
10015674,
10015732,
10015732,
10015917,
10015917,
10015917,
10015920,
10015920,
10015920,
10015920,
10015920,
10015920,
10015920,
10015920,
10015920,
10015957,
10015957,
10015957,
10015957,
10015957,
10015957,
10015957,
10015957,
10015957,
10016214,
10016214,
10016214,
10016417,
10016417,
10016417,
10016417,
10016417,
10016849,
10016849,
10016849,
10016849,
10016950,
10016950,
10017322,
10017322,
10017322,
10017322,
10017322,
10017322,
10017322,
10017528,
10017528,
10017528,
10017528,
10017528,
10017528,
10017528,
10017528,
10017528,
10017528,
10017528,
10017528,
10017528,
10017528,
10017528,
10017528,
10017628,
10017628,
10017934,
10017934,
10017943,
10017943,
10017943,
10017943,
10017943,
10017959,
10017959,
10017959,
10017966,
10017966,
10017966,
10017966,
10017966,
10017966,
10017969,
10017969,
10017969,
10017969,
10017969,
10017971,
10017971,
10017971,
10017971,
10017971,
10017971,
10017977,
10017977,
10017977,
10017977,
10017977,
10017987,
10017987,
10017987,
10017987,
10017990,
10017990,
10017990,
10017990,
10017990,
10017990,
10017990,
10017990,
10017990,
10017990,
10017991,
10017991,
10017991,
10017991,
10017991,
10017991,
10017991,
10017991,
10017991,
10017991,
10017991,
10017991,
10017991,
10017991,
10017998,
10017998,
10017998,
10017998,
10017998,
10017998,
10017998,
10017998,
10017998,
10017998,
10017998,
10018008,
10018008,
10018008,
10018008,
10018008,
10018008,
10018012,
10018012,
10018012,
10018012,
10018012,
10018012,
10018012,
10018018,
10018018,
10018018,
10018018,
10018018,
10018018,
10018018,
10018018,
10018018,
10018018,
10018018,
10018027,
10018027,
10018027,
10018027,
10018027,
10018027,
10018027,
10018031,
10018031,
10018031,
10018031,
10018031,
10018057,
10018057,
10018073,
10018073,
10018073,
10018073,
10018073,
10018073,
10018073,
10018073,
10018073,
10018073,
10018188,
10018188,
10018188,
10018307,
10018307,
10018424,
10018424,
10018424,
10018515,
10018515,
10018849,
10018851,
10018851,
10018851,
10018851,
10018851,
10018851,
10018851,
10018851,
10018851,
10018865,
10018865,
10018865,
10018865,
10018865,
10018902,
10018902,
10018902,
10018911,
10018911,
10018911,
10018911,
10018911,
10018911,
10019190,
10019190,
10019190,
10019190,
10019190,
10019190,
10019190,
10019190,
10019190,
10019190,
10019190,
10019190,
10019190,
10019190,
10019190,
10019190,
10019190,
10019231,
10019231,
10019243,
10019243,
10019243,
10019280,
10019280,
10019280,
10019280,
10019381,
10019381,
10019381,
10019381,
10019654,
10019654,
10019654,
10019654,
10019654,
10019654,
10019654,
10019654,
10019654,
10019654,
10019654,
10019806,
10019809,
10019809,
10019809,
10019811,
10019811,
10019811,
10019813,
10019813,
10019815,
10019815,
10019815,
10019815,
10019815,
10019815,
10019818,
10019818,
10019818,
10021112,
10021112,
10021112,
10021112,
10021112,
10021429,
10021460,
10021460,
10021460,
10021505,
10021505,
10021505,
10021505,
10021505,
10021563,
10021605,
10021605,
10021605,
10021605,
10021605,
10021605,
