Std Sec#,Section,Occurring LLT,Occurrences,PT,Section Code,LLT Code,PT Code,SPL Set ID,SPL Eff Date,SPL Ver,Trade Name,Generic/Proper Names,Product Names,Product Generic Names,Product NDCs,FDALabel URL,DailyMed URL
6.0,ADVERSE REACTIONS SECTION,Gastroenteritis,4,Gastroenteritis,34084-4,10017888,10017888,c7d0b43c-7250-4809-8a05-fcde5862f076,20220726,14,"Adenovirus Type 4 and Type 7 Vaccine, Live","ADENOVIRUS TYPE 4 AND TYPE 7 VACCINE, LIVE","Adenovirus Type 4 and Type 7 Vaccine, Live","Adenovirus Type 4 and Type 7 Vaccine, Live",51285-138,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/c7d0b43c-7250-4809-8a05-fcde5862f076/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=c7d0b43c-7250-4809-8a05-fcde5862f076
6.0,ADVERSE REACTIONS SECTION,Guillain Barre syndrome,1,Guillain-Barre syndrome,34084-4,10018766,10018767,c7d0b43c-7250-4809-8a05-fcde5862f076,20220726,14,"Adenovirus Type 4 and Type 7 Vaccine, Live","ADENOVIRUS TYPE 4 AND TYPE 7 VACCINE, LIVE","Adenovirus Type 4 and Type 7 Vaccine, Live","Adenovirus Type 4 and Type 7 Vaccine, Live",51285-138,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/c7d0b43c-7250-4809-8a05-fcde5862f076/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=c7d0b43c-7250-4809-8a05-fcde5862f076
6.0,ADVERSE REACTIONS SECTION,Guillain-Barre syndrome,1,Guillain-Barre syndrome,34084-4,10018767,10018767,c7d0b43c-7250-4809-8a05-fcde5862f076,20220726,14,"Adenovirus Type 4 and Type 7 Vaccine, Live","ADENOVIRUS TYPE 4 AND TYPE 7 VACCINE, LIVE","Adenovirus Type 4 and Type 7 Vaccine, Live","Adenovirus Type 4 and Type 7 Vaccine, Live",51285-138,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/c7d0b43c-7250-4809-8a05-fcde5862f076/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=c7d0b43c-7250-4809-8a05-fcde5862f076
6.0,ADVERSE REACTIONS SECTION,Headache,4,Headache,34084-4,10019211,10019211,c7d0b43c-7250-4809-8a05-fcde5862f076,20220726,14,"Adenovirus Type 4 and Type 7 Vaccine, Live","ADENOVIRUS TYPE 4 AND TYPE 7 VACCINE, LIVE","Adenovirus Type 4 and Type 7 Vaccine, Live","Adenovirus Type 4 and Type 7 Vaccine, Live",51285-138,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/c7d0b43c-7250-4809-8a05-fcde5862f076/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=c7d0b43c-7250-4809-8a05-fcde5862f076
6.0,ADVERSE REACTIONS SECTION,Hematochezia,2,Haematochezia,34084-4,10060544,10018836,c7d0b43c-7250-4809-8a05-fcde5862f076,20220726,14,"Adenovirus Type 4 and Type 7 Vaccine, Live","ADENOVIRUS TYPE 4 AND TYPE 7 VACCINE, LIVE","Adenovirus Type 4 and Type 7 Vaccine, Live","Adenovirus Type 4 and Type 7 Vaccine, Live",51285-138,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/c7d0b43c-7250-4809-8a05-fcde5862f076/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=c7d0b43c-7250-4809-8a05-fcde5862f076
6.0,ADVERSE REACTIONS SECTION,Hematuria,2,Haematuria,34084-4,10019450,10018867,c7d0b43c-7250-4809-8a05-fcde5862f076,20220726,14,"Adenovirus Type 4 and Type 7 Vaccine, Live","ADENOVIRUS TYPE 4 AND TYPE 7 VACCINE, LIVE","Adenovirus Type 4 and Type 7 Vaccine, Live","Adenovirus Type 4 and Type 7 Vaccine, Live",51285-138,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/c7d0b43c-7250-4809-8a05-fcde5862f076/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=c7d0b43c-7250-4809-8a05-fcde5862f076
6.0,ADVERSE REACTIONS SECTION,Hypersensitivity,1,Hypersensitivity,34084-4,10020751,10020751,c7d0b43c-7250-4809-8a05-fcde5862f076,20220726,14,"Adenovirus Type 4 and Type 7 Vaccine, Live","ADENOVIRUS TYPE 4 AND TYPE 7 VACCINE, LIVE","Adenovirus Type 4 and Type 7 Vaccine, Live","Adenovirus Type 4 and Type 7 Vaccine, Live",51285-138,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/c7d0b43c-7250-4809-8a05-fcde5862f076/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=c7d0b43c-7250-4809-8a05-fcde5862f076
6.0,ADVERSE REACTIONS SECTION,Influenza,2,Influenza,34084-4,10022000,10022000,c7d0b43c-7250-4809-8a05-fcde5862f076,20220726,14,"Adenovirus Type 4 and Type 7 Vaccine, Live","ADENOVIRUS TYPE 4 AND TYPE 7 VACCINE, LIVE","Adenovirus Type 4 and Type 7 Vaccine, Live","Adenovirus Type 4 and Type 7 Vaccine, Live",51285-138,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/c7d0b43c-7250-4809-8a05-fcde5862f076/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=c7d0b43c-7250-4809-8a05-fcde5862f076
6.0,ADVERSE REACTIONS SECTION,Joint pain,1,Arthralgia,34084-4,10023222,10003239,c7d0b43c-7250-4809-8a05-fcde5862f076,20220726,14,"Adenovirus Type 4 and Type 7 Vaccine, Live","ADENOVIRUS TYPE 4 AND TYPE 7 VACCINE, LIVE","Adenovirus Type 4 and Type 7 Vaccine, Live","Adenovirus Type 4 and Type 7 Vaccine, Live",51285-138,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/c7d0b43c-7250-4809-8a05-fcde5862f076/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=c7d0b43c-7250-4809-8a05-fcde5862f076
6.0,ADVERSE REACTIONS SECTION,Nasal congestion,3,Nasal congestion,34084-4,10028735,10028735,c7d0b43c-7250-4809-8a05-fcde5862f076,20220726,14,"Adenovirus Type 4 and Type 7 Vaccine, Live","ADENOVIRUS TYPE 4 AND TYPE 7 VACCINE, LIVE","Adenovirus Type 4 and Type 7 Vaccine, Live","Adenovirus Type 4 and Type 7 Vaccine, Live",51285-138,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/c7d0b43c-7250-4809-8a05-fcde5862f076/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=c7d0b43c-7250-4809-8a05-fcde5862f076
6.0,ADVERSE REACTIONS SECTION,Nausea,3,Nausea,34084-4,10028813,10028813,c7d0b43c-7250-4809-8a05-fcde5862f076,20220726,14,"Adenovirus Type 4 and Type 7 Vaccine, Live","ADENOVIRUS TYPE 4 AND TYPE 7 VACCINE, LIVE","Adenovirus Type 4 and Type 7 Vaccine, Live","Adenovirus Type 4 and Type 7 Vaccine, Live",51285-138,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/c7d0b43c-7250-4809-8a05-fcde5862f076/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=c7d0b43c-7250-4809-8a05-fcde5862f076
